website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
eventim.de,23.204.8.81,0.742,2.13,0.9178,0.7895000000000001,23.204.8.81,0.777,0.012500000000000067,True
evergage.com,13.33.252.16,1.19,2.12,1.313,1.215,13.33.252.16,1.215,0.0,True
excellenth5game.com,13.225.63.74,1.03,1.67,1.111,1.05,13.225.63.98,0.9235,0.12650000000000006,False
expedia.com,23.201.183.113,0.767,1.39,0.8549999999999999,0.7825,23.201.183.113,0.7825,0.0,True
express.co.uk,108.138.106.83,1.2,2.08,1.3190000000000002,1.23,108.138.106.83,1.23,0.0,True
expressvpn.com,13.226.94.37,0.823,1.93,0.9784,0.854,13.226.94.37,0.854,0.0,True
f-secure.com,23.201.179.58,0.872,1.0,0.9326,0.9255,23.201.179.58,0.9255,0.0,True
facebook-hardware.com,157.240.241.17,0.981,2.01,1.2531000000000003,1.06,31.13.71.1,0.9345,0.12550000000000006,False
facebook.com,157.240.241.35,0.861,1.83,0.991,0.8975,157.240.241.35,0.8975,0.0,True
fanatics.com,23.46.224.139,0.926,1.06,0.9838,0.9785,23.46.224.139,0.9785,0.0,True
fandango.com,23.201.170.7,0.776,0.846,0.7984,0.798,23.201.170.7,0.798,0.0,True
fanduel.com,3.168.122.47,0.823,1.73,0.9422999999999998,0.851,3.168.122.47,0.8485,0.0024999999999999467,True
fantacalcio.it,3.168.102.32,0.893,1.97,1.0457,0.956,3.168.102.32,0.956,0.0,True
farfetch.com,104.94.123.82,6.16,7.28,6.436,6.335,23.217.46.56,1.5750000000000002,4.76,False
fast.com,23.204.1.172,0.932,1.1,1.006,1.0045,23.204.1.172,1.0045,0.0,True
fb.com,157.240.241.35,0.86,2.01,1.0489,0.9265,157.240.241.35,0.9155,0.01100000000000001,True
fb.me,57.144.180.1,0.885,1.85,1.0391,0.9635,31.13.71.36,0.9095,0.05400000000000005,False
fb.watch,57.144.180.141,0.852,1.77,1.0078999999999998,0.9385,157.240.241.17,0.9215,0.017000000000000015,False
fbcdn.net,31.13.71.36,0.889,1.56,1.0089,0.955,31.13.71.36,0.9275,0.02749999999999997,True
fbsbx.com,31.13.71.36,0.868,0.948,0.902,0.8945000000000001,31.13.71.36,0.8945000000000001,0.0,True
fcc.gov,23.201.175.203,1.18,2.1,1.327,1.245,23.201.175.203,1.185,0.06000000000000005,True
fda.gov,23.204.12.22,0.963,1.16,1.0467,1.045,23.204.12.22,1.045,0.0,True
fdic.gov,23.219.82.43,2.26,2.44,2.325,2.31,23.219.82.48,0.988,1.322,False
fema.gov,23.204.25.176,1.16,1.6,1.281,1.235,23.204.25.176,0.984,0.2510000000000001,True
feverup.com,18.173.219.105,0.939,1.9,1.0662,0.9635,18.173.219.127,0.862,0.10150000000000003,False
fidelity.com,23.48.224.113,0.713,0.844,0.7695,0.754,23.48.224.113,0.754,0.0,True
figma.com,18.173.132.44,0.88,4.25,1.365,0.923,18.173.219.80,0.902,0.02100000000000002,False
filedownload-csw-lenovo.com,13.226.94.9,0.81,1.72,0.9466,0.865,13.226.94.117,0.849,0.016000000000000014,False
fin.ag,185.199.111.153,0.632,1.46,0.8624,0.7825,185.199.110.153,0.7444999999999999,0.038000000000000034,False
financialexpress.com,23.47.170.189,0.727,0.838,0.767,0.7625,23.47.170.189,0.7625,0.0,True
firstpost.com,23.56.210.80,1.17,2.23,1.347,1.225,23.56.210.80,1.225,0.0,True
fisglobal.com,23.204.21.146,0.689,1.83,0.8592000000000001,0.7615000000000001,23.204.21.146,0.7615000000000001,0.0,True
flic.kr,18.164.95.128,1.05,1.54,1.136,1.0950000000000002,18.164.95.128,1.085,0.010000000000000231,True
flickr.com,18.164.95.128,1.06,1.82,1.1649999999999998,1.09,18.164.95.128,1.085,0.0050000000000001155,True
flipboard.com,18.164.116.89,1.2,1.32,1.2659999999999998,1.265,18.164.116.73,1.08,0.18499999999999983,False
flipsnack.com,18.238.49.79,0.919,1.05,0.9704,0.971,18.238.49.74,0.958,0.013000000000000012,False
flourish.studio,18.173.132.75,0.801,1.45,0.8998999999999999,0.8254999999999999,18.173.132.75,0.8254999999999999,0.0,True
fnac.com,23.48.224.104,1.18,1.7,1.32,1.275,23.48.224.104,1.275,0.0,True
fnn.jp,13.249.91.28,0.883,1.05,0.9835,0.9975,13.249.91.77,0.9205,0.07700000000000007,False
focus.de,23.48.224.5,0.7,1.65,0.8571000000000002,0.7765,23.48.224.5,0.7765,0.0,True
foodnetwork.com,13.249.91.29,0.935,1.81,1.0601999999999998,0.9735,13.249.91.129,0.9515,0.02200000000000002,False
forbesjapan.com,13.33.252.125,1.01,1.89,1.14,1.06,13.33.252.125,1.06,0.0,True
