website,cdn,min,max,mean,media
coppel.com,23.37.18.197,2.24,2.36,2.2779999999999996,2.26
coppel.com,104.103.159.247,134.0,135.0,134.1,134.0
coppel.com,23.67.130.253,147.0,147.0,147.0,147.0
coppel.com,23.204.25.85,65.6,65.7,65.68000000000002,65.7
coppel.com,23.5.154.64,59.7,59.9,59.79999999999999,59.8
coppel.com,23.49.82.31,70.6,71.1,70.72,70.7
coppel.com,104.114.101.108,217.0,218.0,217.4,217.0
coppel.com,23.38.28.158,144.0,145.0,144.1,144.0
coppel.com,125.252.216.79,180.0,182.0,180.5,180.0
coppel.com,104.68.0.228,178.0,179.0,178.2,178.0
coppel.com,23.38.237.159,3.05,3.9,3.166,3.085
cheezburger.com,18.238.192.19,0.304,1.31,0.48469999999999996,0.34550000000000003
cheezburger.com,18.239.50.52,145.0,145.0,145.0,145.0
cheezburger.com,18.245.96.90,67.0,67.0,67.0,67.0
cheezburger.com,18.238.80.118,68.5,68.6,68.51,68.5
cheezburger.com,108.156.39.53,134.0,135.0,134.1,134.0
cheezburger.com,18.238.80.124,66.4,66.7,66.46000000000001,66.4
cheezburger.com,52.84.205.128,220.0,221.0,220.2,220.0
cheezburger.com,18.238.192.61,0.3,0.998,0.3958,0.3255
cheezburger.com,13.35.147.97,137.0,138.0,137.1,137.0
cheezburger.com,108.157.150.32,56.2,58.0,56.4,56.2
cheezburger.com,18.238.192.13,0.243,1.02,0.3658,0.3045
cheezburger.com,18.66.112.49,149.0,149.0,149.0,149.0
cheezburger.com,13.227.254.117,187.0,188.0,187.4,187.0
vedantu.com,108.138.246.113,0.773,1.8,0.9404,0.815
vedantu.com,18.238.80.107,68.5,72.6,69.09,68.5
vedantu.com,108.158.61.63,237.0,240.0,237.4,237.0
vedantu.com,18.238.80.29,66.4,66.5,66.42,66.4
vedantu.com,108.158.32.11,136.0,137.0,136.1,136.0
vedantu.com,18.173.121.58,0.25,0.377,0.3019,0.3075
vedantu.com,13.33.165.129,67.9,68.8,68.02,67.9
vedantu.com,18.239.94.124,140.0,141.0,140.5,140.5
vedantu.com,18.173.121.98,0.295,0.812,0.3868,0.341
vedantu.com,52.85.151.122,68.0,68.8,68.16,68.1
vedantu.com,108.138.7.37,150.0,151.0,150.1,150.0
vedantu.com,108.138.7.4,149.0,149.0,149.0,149.0
vedantu.com,13.227.254.14,183.0,184.0,183.1,183.0
pix.pub,18.238.192.54,0.282,1.1,0.403,0.306
pix.pub,108.158.46.24,236.0,241.0,236.7,236.0
pix.pub,3.162.103.41,66.6,67.6,66.79,66.7
pix.pub,108.158.20.47,137.0,137.0,137.0,137.0
pix.pub,108.138.128.48,69.1,69.8,69.22,69.1
pix.pub,108.138.7.91,146.0,146.0,146.0,146.0
pix.pub,18.238.192.108,0.271,1.33,0.39840000000000003,0.2945
pix.pub,108.157.254.71,177.0,178.0,177.3,177.0
pix.pub,18.238.192.54,0.296,0.799,0.38649999999999995,0.337
pix.pub,108.138.128.42,69.1,69.4,69.17,69.1
pix.pub,13.33.165.21,67.9,69.0,68.05,67.95
pix.pub,108.138.128.126,68.6,68.7,68.61,68.6
pix.pub,18.239.18.68,141.0,142.0,141.2,141.0
travelocity.com,184.84.192.197,1.3,1.87,1.4070000000000003,1.335
travelocity.com,23.58.35.14,250.0,250.0,250.0,250.0
travelocity.com,23.37.61.64,150.0,150.0,150.0,150.0
travelocity.com,104.68.29.123,191.0,192.0,191.1,191.0
travelocity.com,104.103.196.143,134.0,134.0,134.0,134.0
travelocity.com,23.10.157.63,71.7,72.8,71.89999999999999,71.8
travelocity.com,23.201.189.51,65.6,65.7,65.67000000000002,65.7
travelocity.com,23.202.141.114,182.0,191.0,182.9,182.0
travelocity.com,23.2.227.143,142.0,142.0,142.0,142.0
travelocity.com,23.13.162.225,66.7,66.8,66.75999999999999,66.8
travelocity.com,184.84.192.197,1.32,2.03,1.4060000000000001,1.34
tsa.gov,96.6.233.155,1.29,2.12,1.392,1.3050000000000002
tsa.gov,104.102.47.79,145.0,146.0,145.1,145.0
tsa.gov,23.204.25.176,65.7,66.9,65.84,65.7
tsa.gov,23.38.28.247,141.0,141.0,141.0,141.0
tsa.gov,23.57.57.186,238.0,238.0,238.0,238.0
tsa.gov,184.87.40.114,60.2,61.3,60.36999999999999,60.3
tsa.gov,125.252.216.169,186.0,187.0,186.1,186.0
